geography_type,geography_name,year,animal,count
Region,Marlborough,1995,Beef cattle,80354
Region,Marlborough,1996,Beef cattle,79081
Region,Marlborough,1997,Beef cattle,NA
Region,Marlborough,1998,Beef cattle,NA
Region,Marlborough,1999,Beef cattle,85018
Region,Marlborough,2000,Beef cattle,NA
Region,Marlborough,2001,Beef cattle,NA
Region,Marlborough,2002,Beef cattle,72479
Region,Marlborough,2003,Beef cattle,69955
Region,Marlborough,2004,Beef cattle,67063
Region,Marlborough,2005,Beef cattle,63620
Region,Marlborough,2006,Beef cattle,67830
Region,Marlborough,2007,Beef cattle,65768
Region,Marlborough,2008,Beef cattle,56859
Region,Marlborough,2009,Beef cattle,NA
Region,Marlborough,2010,Beef cattle,60852
Region,Marlborough,2011,Beef cattle,51103
Region,Marlborough,2012,Beef cattle,60127
Region,Marlborough,2013,Beef cattle,60172
Region,Marlborough,2014,Beef cattle,59967
Region,Marlborough,2015,Beef cattle,54266
Region,Marlborough,2016,Beef cattle,54063
Region,Marlborough,2017,Beef cattle,52448
Region,Marlborough,2018,Beef cattle,57389
Region,Marlborough,2019,Beef cattle,64217
Region,Nelson,1990,Beef cattle,NA
Region,Nelson,1991,Beef cattle,NA
Region,Nelson,1992,Beef cattle,NA
Region,Nelson,1993,Beef cattle,2727
Region,Nelson,1994,Beef cattle,1891
Region,Nelson,1995,Beef cattle,2162
Region,Nelson,1996,Beef cattle,NA
Region,Nelson,1997,Beef cattle,NA
Region,Nelson,1998,Beef cattle,NA
Region,Nelson,1999,Beef cattle,1844
Region,Nelson,2000,Beef cattle,NA
Region,Nelson,2001,Beef cattle,NA
Region,Nelson,2002,Beef cattle,2642
Region,Nelson,2003,Beef cattle,NA
Region,Nelson,2004,Beef cattle,3605
Region,Nelson,2005,Beef cattle,3665
Region,Nelson,2006,Beef cattle,2968
Region,Nelson,2007,Beef cattle,1298
Region,Nelson,2008,Beef cattle,1522
Region,Nelson,2009,Beef cattle,NA
Region,Nelson,2010,Beef cattle,1471
Region,Nelson,2011,Beef cattle,NA
Region,Nelson,2012,Beef cattle,NA
Region,Nelson,2013,Beef cattle,1206
Region,Nelson,2014,Beef cattle,1529
Region,Nelson,2015,Beef cattle,2490
Region,Nelson,2016,Beef cattle,1692
